合约代码,更新时间,最新价,成交量,买价一,买量一,卖价一,卖量一,持仓量,换手率
zn1905,13:39:03.0,20270,9104,20270,24,20280,3,18204,9.25443e+08
zn1905,13:39:08.500,20270,9104,20270,24,20280,2,18204,9.25443e+08
zn1905,13:39:09.0,20270,9104,20270,25,20280,1,18204,9.25443e+08
zn1905,13:39:09.500,20270,9104,20270,23,20280,2,18204,9.25443e+08
zn1905,13:39:10.500,20270,9104,20270,23,20280,2,18204,9.25443e+08
zn1905,13:39:11.0,20270,9104,20270,24,20280,2,18204,9.25443e+08
zn1905,13:39:13.0,20270,9104,20270,25,20280,1,18204,9.25443e+08
zn1905,13:39:13.500,20270,9104,20270,24,20280,2,18204,9.25443e+08
zn1905,13:39:14.500,20280,9106,20280,1,20285,4,18204,9.25646e+08
zn1905,13:39:15.0,20280,9106,20275,1,20285,3,18204,9.25646e+08
zn1905,13:39:16.0,20280,9106,20280,1,20285,3,18204,9.25646e+08
zn1905,13:39:18.0,20280,9106,20280,1,20285,3,18204,9.25646e+08
zn1905,13:39:19.0,20280,9106,20280,1,20285,1,18204,9.25646e+08
zn1905,13:39:19.500,20280,9106,20275,2,20285,1,18204,9.25646e+08
zn1905,13:39:20.0,20280,9106,20275,2,20285,2,18204,9.25646e+08
zn1905,13:39:20.500,20280,9106,20275,1,20285,2,18204,9.25646e+08
zn1905,13:39:21.0,20275,9108,20270,2,20280,1,18204,9.25848e+08
zn1905,13:39:21.500,20275,9108,20275,1,20285,3,18204,9.25848e+08
zn1905,13:39:22.0,20280,9110,20275,1,20285,3,18202,9.26051e+08
zn1905,13:39:22.500,20280,9110,20270,2,20280,3,18202,9.26051e+08
zn1905,13:39:23.0,20280,9110,20275,2,20280,2,18202,9.26051e+08
zn1905,13:39:23.500,20280,9110,20275,2,20280,1,18202,9.26051e+08
zn1905,13:39:25.0,20275,9114,20270,2,20280,2,18206,9.26457e+08
zn1905,13:39:25.500,20275,9114,20270,2,20275,1,18206,9.26457e+08
zn1905,13:39:26.0,20275,9114,20270,2,20275,1,18206,9.26457e+08
zn1905,13:39:28.0,20270,9126,20270,1,20275,1,18214,9.27673e+08
zn1905,13:39:28.500,20275,9128,20275,1,20280,2,18214,9.27876e+08
zn1905,13:39:29.0,20275,9130,20265,2,20275,2,18214,9.28078e+08
zn1905,13:39:29.500,20275,9130,20265,3,20275,1,18214,9.28078e+08
zn1905,13:39:32.500,20275,9130,20265,3,20275,1,18214,9.28078e+08
zn1905,13:39:33.0,20275,9130,20270,23,20280,3,18214,9.28078e+08
zn1905,13:39:34.0,20275,9130,20270,23,20280,2,18214,9.28078e+08
zn1905,13:39:38.0,20275,9130,20270,23,20280,7,18214,9.28078e+08
zn1905,13:39:43.0,20275,9130,20270,22,20280,7,18214,9.28078e+08
zn1905,13:39:43.500,20275,9130,20270,23,20280,7,18214,9.28078e+08
zn1905,13:39:44.0,20275,9130,20270,22,20280,10,18214,9.28078e+08
zn1905,13:39:44.500,20275,9130,20270,22,20280,11,18214,9.28078e+08
zn1905,13:39:45.0,20275,9130,20270,22,20280,11,18214,9.28078e+08
zn1905,13:39:46.0,20275,9130,20270,22,20275,5,18214,9.28078e+08
zn1905,13:39:47.500,20275,9130,20270,9,20275,1,18214,9.28078e+08
zn1905,13:39:48.0,20275,9130,20275,1,20280,8,18214,9.28078e+08
zn1905,13:39:48.500,20280,9134,20275,1,20280,6,18210,9.28484e+08
zn1905,13:39:49.0,20280,9136,20275,1,20280,7,18208,9.28687e+08
zn1905,13:39:49.500,20280,9136,20275,1,20280,1,18208,9.28687e+08
zn1905,13:39:50.0,20280,9136,20275,1,20280,9,18208,9.28687e+08
zn1905,13:39:51.0,20275,9138,20265,2,20280,12,18208,9.28889e+08
zn1905,13:39:51.500,20275,9138,20270,1,20280,11,18208,9.28889e+08
zn1905,13:39:52.0,20275,9138,20270,1,20280,4,18208,9.28889e+08
zn1905,13:39:53.0,20280,9144,20270,2,20280,10,18208,9.29498e+08
zn1905,13:39:53.500,20280,9144,20270,2,20280,12,18208,9.29498e+08
zn1905,13:39:54.500,20280,9144,20270,3,20275,7,18208,9.29498e+08
zn1905,13:39:55.500,20280,9144,20270,2,20275,7,18208,9.29498e+08
zn1905,13:39:56.500,20270,9150,20265,2,20275,3,18202,9.30106e+08
zn1905,13:39:57.0,20275,9154,20270,24,20280,2,18204,9.30511e+08
zn1905,13:39:57.500,20275,9154,20270,9,20275,1,18204,9.30511e+08
zn1905,13:39:58.0,20275,9156,20270,10,20280,4,18206,9.30714e+08
zn1905,13:39:58.500,20275,9156,20270,11,20280,6,18206,9.30714e+08
zn1905,13:39:59.500,20275,9156,20270,10,20280,2,18206,9.30714e+08
zn1905,13:40:00.500,20275,9158,20270,11,20280,8,18204,9.30917e+08
zn1905,13:40:01.0,20275,9158,20270,11,20280,8,18204,9.30917e+08
zn1905,13:40:01.500,20280,9160,20275,2,20285,2,18202,9.3112e+08
zn1905,13:40:02.500,20280,9160,20275,4,20285,7,18202,9.3112e+08
zn1905,13:40:03.0,20280,9160,20270,1,20285,10,18202,9.3112e+08
zn1905,13:40:03.500,20280,9160,20270,3,20285,11,18202,9.3112e+08
zn1905,13:40:04.0,20280,9160,20275,24,20285,6,18202,9.3112e+08
zn1905,13:40:04.500,20280,9160,20275,26,20285,6,18202,9.3112e+08
zn1905,13:40:06.0,20280,9160,20275,23,20285,9,18202,9.3112e+08
zn1905,13:40:07.0,20280,9160,20275,24,20285,9,18202,9.3112e+08
zn1905,13:40:07.500,20280,9160,20280,1,20285,6,18202,9.3112e+08
zn1905,13:40:08.500,20280,9160,20275,3,20285,7,18202,9.3112e+08
zn1905,13:40:09.0,20280,9160,20275,3,20285,2,18202,9.3112e+08
zn1905,13:40:09.500,20280,9160,20275,3,20290,3,18202,9.3112e+08
zn1905,13:40:10.500,20280,9160,20275,3,20290,16,18202,9.3112e+08
zn1905,13:40:11.0,20280,9160,20275,2,20290,17,18202,9.3112e+08
zn1905,13:40:11.500,20280,9160,20275,2,20290,17,18202,9.3112e+08
zn1905,13:40:12.500,20280,9160,20275,2,20285,1,18202,9.3112e+08
zn1905,13:40:13.0,20280,9160,20275,4,20290,17,18202,9.3112e+08
zn1905,13:40:14.0,20280,9160,20275,2,20290,17,18202,9.3112e+08
zn1905,13:40:16.500,20280,9160,20280,24,20290,10,18202,9.3112e+08
zn1905,13:40:17.500,20280,9160,20280,26,20290,9,18202,9.3112e+08
zn1905,13:40:18.0,20280,9160,20280,26,20290,7,18202,9.3112e+08
zn1905,13:40:18.500,20280,9160,20280,22,20290,14,18202,9.3112e+08
zn1905,13:40:19.0,20280,9160,20280,22,20290,14,18202,9.3112e+08
zn1905,13:40:20.0,20280,9160,20280,23,20290,14,18202,9.3112e+08
zn1905,13:40:20.500,20280,9160,20280,22,20290,14,18202,9.3112e+08
zn1905,13:40:22.0,20280,9164,20270,2,20280,3,18202,9.31525e+08
zn1905,13:40:23.0,20280,9164,20270,3,20280,10,18202,9.31525e+08
zn1905,13:40:23.500,20280,9164,20270,3,20280,3,18202,9.31525e+08
zn1905,13:40:24.500,20280,9164,20270,2,20280,2,18202,9.31525e+08
zn1905,13:40:25.0,20280,9164,20275,1,20280,2,18202,9.31525e+08
zn1905,13:40:25.500,20280,9168,20275,1,20280,1,18198,9.31931e+08
zn1905,13:40:29.0,20280,9170,20275,2,20290,4,18198,9.32134e+08
zn1905,13:40:30.0,20280,9170,20270,2,20275,1,18198,9.32134e+08
zn1905,13:40:30.500,20275,9172,20275,2,20280,2,18200,9.32337e+08
zn1905,13:40:31.500,20275,9172,20270,3,20280,7,18200,9.32337e+08
zn1905,13:40:32.0,20275,9172,20270,3,20280,7,18200,9.32337e+08
zn1905,13:40:34.500,20275,9172,20270,2,20280,7,18200,9.32337e+08
zn1905,13:40:35.0,20275,9172,20270,2,20280,9,18200,9.32337e+08
zn1905,13:40:36.0,20275,9172,20270,1,20280,4,18200,9.32337e+08
zn1905,13:40:37.0,20275,9172,20275,1,20280,3,18200,9.32337e+08
zn1905,13:40:37.500,20275,9172,20275,2,20280,3,18200,9.32337e+08
zn1905,13:40:38.0,20275,9172,20270,1,20280,4,18200,9.32337e+08
zn1905,13:40:39.500,20275,9172,20275,1,20280,4,18200,9.32337e+08
zn1905,13:40:40.0,20275,9172,20275,2,20280,4,18200,9.32337e+08
zn1905,13:40:42.0,20275,9172,20270,1,20280,4,18200,9.32337e+08
zn1905,13:40:42.500,20275,9172,20270,2,20280,4,18200,9.32337e+08
zn1905,13:40:43.500,20275,9172,20275,1,20280,4,18200,9.32337e+08
zn1905,13:40:44.500,20275,9172,20275,2,20280,4,18200,9.32337e+08
zn1905,13:40:47.0,20275,9172,20275,1,20280,4,18200,9.32337e+08
zn1905,13:40:47.500,20275,9174,20270,2,20280,4,18202,9.32539e+08
zn1905,13:40:48.0,20275,9174,20275,2,20280,4,18202,9.32539e+08
zn1905,13:40:49.500,20275,9174,20275,2,20280,4,18202,9.32539e+08
zn1905,13:40:50.0,20275,9174,20270,2,20280,4,18202,9.32539e+08
zn1905,13:40:52.0,20275,9174,20270,3,20280,4,18202,9.32539e+08
zn1905,13:40:53.500,20275,9174,20270,1,20280,4,18202,9.32539e+08
zn1905,13:40:54.500,20275,9174,20270,24,20280,2,18202,9.32539e+08
zn1905,13:40:55.0,20275,9174,20270,25,20280,2,18202,9.32539e+08
zn1905,13:40:55.500,20275,9174,20275,2,20280,2,18202,9.32539e+08
